fg_abbr,kalshi_abbr,team_name
ARI,AZ,Diamondbacks
ATH,ATH,Athletics
ATL,ATL,Braves
BAL,BAL,Orioles
BOS,BOS,Red Sox
CHC,CHC,Cubs
CHW,CWS,White Sox
CIN,CIN,Reds
CLE,CLE,Guardians
COL,COL,Rockies
DET,DET,Tigers
HOU,HOU,Astros
KCR,KC,Royals
LAA,LAA,Angels
LAD,LAD,Dodgers
MIA,MIA,Marlins
MIL,MIL,Brewers
MIN,MIN,Twins
NYM,NYM,Mets
NYY,NYY,Yankees
PHI,PHI,Phillies
PIT,PIT,Pirates
SDP,SD,Padres
SEA,SEA,Mariners
SFG,SF,Giants
STL,STL,Cardinals
TBR,TB,Rays
TEX,TEX,Rangers
TOR,TOR,Blue Jays
WSN,WSH,Nationals
